epoch,train_loss,val_loss,train_acc,val_acc,lr
1,2.395709229772297,1.219253381093343,0.35871156661786235,0.4583333333333333,0.0005
2,2.29349101619525,1.1972921121688116,0.37042459736456806,0.43452380952380953,0.0005
3,2.827247506092094,1.2248843227113997,0.38726207906295756,0.44642857142857145,0.0005
4,3.0294943766922064,1.1437871626445226,0.45534407027818447,0.47023809523809523,0.0005
5,3.9105805750298117,1.334091203553336,0.37701317715959004,0.3869047619047619,0.0005
6,3.8848641128177,1.3257021336328416,0.33382137628111275,0.2976190476190476,0.0005
7,2.351391549864416,1.2794610659281414,0.3594436310395315,0.4642857142857143,0.0005
8,1.8298397561641597,1.2920265595118205,0.39092240117130306,0.48214285714285715,0.0005
9,1.8253739494530383,1.2700935715720767,0.3989751098096633,0.4583333333333333,0.0005
10,1.7480802491503613,1.2954247792561848,0.37554904831625185,0.43452380952380953,0.00025
11,1.4322050855240047,1.310467765444801,0.4158125915080527,0.43452380952380953,0.00025
12,1.4657284789343703,1.30635442620232,0.390190336749634,0.4523809523809524,0.00025
13,1.9140500074598834,1.2259605101176672,0.37774524158125916,0.48214285714285715,0.00025
14,2.2442524099768866,1.249419541586013,0.3931185944363104,0.49404761904761907,0.00025
15,2.1717462089365434,1.3964325927552723,0.4224011713030747,0.31547619047619047,0.00025
16,2.1439172242431304,1.312287762051537,0.4033674963396779,0.35714285714285715,0.000125
17,1.6526501571451413,1.2820963291894822,0.40702781844802344,0.44642857142857145,0.000125
18,1.486312991179973,1.2900188593637376,0.410688140556369,0.40476190476190477,0.000125
19,1.6409087736121384,1.3283785468056089,0.3916544655929722,0.4166666666666667,0.000125
20,1.6239710629073627,1.3246761049543108,0.35505124450951686,0.4226190476190476,0.000125
21,1.4822559820959893,1.3305869840440296,0.3850658857979502,0.44642857142857145,0.000125
22,1.426349406535594,1.314178506533305,0.3967789165446559,0.47619047619047616,6.25e-05
23,1.4528451753046643,1.338528803416661,0.38653001464128844,0.4523809523809524,6.25e-05
24,1.452852318611536,1.3405448482150124,0.390190336749634,0.44047619047619047,6.25e-05
25,1.3861618960060802,1.3120146989822388,0.41142020497803805,0.47023809523809523,6.25e-05
26,1.3764831494447254,1.3253388064248222,0.42972181551976574,0.48214285714285715,6.25e-05
27,1.3749023283208621,1.3001330693562825,0.40775988286969256,0.4583333333333333,6.25e-05
28,1.3529773817928086,1.3236361742019653,0.4224011713030747,0.43452380952380953,3.125e-05
29,1.345052757514518,1.315253252074832,0.4055636896046852,0.4642857142857143,3.125e-05
30,1.3415413977984627,1.321370698156811,0.4143484626647145,0.4880952380952381,3.125e-05
31,1.296504014931172,1.3242824361437844,0.4253294289897511,0.44047619047619047,3.125e-05
32,1.3027670207170232,1.3147423607962472,0.43045387994143486,0.47619047619047616,3.125e-05
33,1.234236890540116,1.3174493199303037,0.45168374816983897,0.47023809523809523,3.125e-05
34,1.2598434704114543,1.3147665375754947,0.4355783308931186,0.47619047619047616,1.5625e-05
35,1.2548064047560685,1.3191426992416382,0.44216691068814057,0.44047619047619047,1.5625e-05
36,1.2223851986196694,1.317489158539545,0.4560761346998536,0.48214285714285715,1.5625e-05
37,1.225292641980407,1.3137883174987066,0.47291361639824303,0.5119047619047619,1.5625e-05
38,1.2290155779390348,1.3118134566715784,0.45168374816983897,0.5059523809523809,1.5625e-05
39,1.2118397027821353,1.326570056733631,0.46412884333821375,0.47023809523809523,1.5625e-05
