epoch,train_loss,val_loss,train_acc,val_acc,lr
1,3.3848861705506352,1.3088351374580747,0.2862371888726208,0.40476190476190477,0.001
2,1.778240767090771,1.3406204893475486,0.363103953147877,0.47619047619047616,0.001
3,1.8924568069452423,1.4216743849572682,0.3513909224011713,0.30952380952380953,0.001
4,2.208858577957265,1.3816725072406588,0.3535871156661786,0.38095238095238093,0.001
5,1.536622868275398,1.3492575827099027,0.3484626647144949,0.3333333333333333,0.0005
6,1.3765871268240284,1.3420508248465401,0.39970717423133234,0.43452380952380953,0.0005
7,1.5431071212665228,1.3261924811771937,0.3733528550512445,0.39880952380952384,0.0005
8,1.478968685577415,1.3130510931923276,0.4260614934114202,0.38095238095238093,0.0005
9,1.507616745779839,1.3640374399366832,0.4033674963396779,0.3630952380952381,0.00025
10,1.6296769694737425,1.3137361719494773,0.3931185944363104,0.39880952380952384,0.00025
11,1.520001815492901,1.3582550911676317,0.4084919472913616,0.3630952380952381,0.00025
12,1.853286842825123,1.3253274190993536,0.3740849194729136,0.4107142857142857,0.00025
13,1.5150915492506014,1.3569282577151345,0.37701317715959004,0.4166666666666667,0.000125
14,1.426217613073603,1.3483731973738897,0.3857979502196193,0.39880952380952384,0.000125
15,1.3737495324273061,1.3520186515081496,0.3850658857979502,0.375,0.000125
16,1.324956793474418,1.3323377541133337,0.40043923865300146,0.3869047619047619,0.000125
