epoch,train_loss,val_loss,train_acc,val_acc,lr
1,2.138826338975622,2.0627136907906367,0.1692281200223858,0.17379310344827587,0.001
2,2.0726130751285834,2.0627412856858354,0.1737052821903655,0.1693103448275862,0.001
3,2.015129912053011,2.0381867954648776,0.18563003142623444,0.2103448275862069,0.001
4,72.31599667059056,17.51417605098674,0.15295535752722889,0.11068965517241379,0.001
5,9.11385533595045,4.560214802972202,0.1400835162942873,0.10103448275862069,0.001
6,59.20957188124067,33.63408250808716,0.14839209608678808,0.09034482758620689,0.001
7,232.66298960354374,74.22727703226023,0.13229153213655345,0.08517241379310345,0.0005
8,15.302713361484994,5.633739230221716,0.1328511774075509,0.17379310344827587,0.0005
9,8.80192158902588,5.502768175848599,0.1376727366653752,0.10655172413793103,0.0005
10,20.720511242188568,13.0180666620978,0.13440096431185156,0.17379310344827587,0.0005
11,3.0993172355697673,8.252029350852144,0.13582160230746051,0.13896551724137932,0.00025
12,3.653980599889107,9.068421366790245,0.1400835162942873,0.13206896551724137,0.00025
13,2.6888568689955656,6.000941931625892,0.1438718842825778,0.09275862068965517,0.00025
14,5.670869411657114,3.7158461202424147,0.14903784063024667,0.1810344827586207,0.00025
15,8.17417443702345,15.130384156005135,0.13999741702182616,0.17379310344827587,0.000125
16,2.382522205257699,11.844358036908611,0.14408713246373067,0.17379310344827587,0.000125
17,2.310862795639153,6.194797649712398,0.14189160101597142,0.16344827586206898,0.000125
18,4.99027530053597,9.263883004846244,0.1421068491971243,0.11517241379310345,0.000125
19,2.2690509838491155,7.817035414268231,0.14559386973180077,0.11655172413793104,6.25e-05
20,2.1206027763207733,7.133200207743151,0.15713117224159456,0.17655172413793102,6.25e-05
21,2.096002500422305,6.7387755732700745,0.15816436351112834,0.17655172413793102,6.25e-05
22,2.449432810532497,8.89995991827599,0.15734642042274744,0.13896551724137932,6.25e-05
23,2.284009233550109,4.688127087395767,0.14408713246373067,0.17379310344827587,3.125e-05
24,2.132969004281949,5.248790138836565,0.15286925825476774,0.08517241379310345,3.125e-05
25,2.1296917611206334,4.433311422282252,0.15153471953161995,0.17655172413793102,3.125e-05
26,2.1252291353320873,3.953798215471465,0.15368720134314864,0.08551724137931034,3.125e-05
27,2.1154489957325078,4.225486636490658,0.1593697533255844,0.08517241379310345,1.5625e-05
28,2.0776815805634707,3.2076835329779265,0.1674200353007017,0.10793103448275862,1.5625e-05
29,2.0738279497666037,3.2044248153423442,0.1666020922123208,0.1713793103448276,1.5625e-05
30,2.0722786043970074,3.057861584301653,0.16763528348185458,0.10620689655172413,1.5625e-05
31,2.073933031644283,2.6521255295852133,0.1687115243876189,0.17862068965517242,7.8125e-06
32,2.0580328638110528,2.5678273503533724,0.17254294201214,0.17379310344827587,7.8125e-06
33,2.053959346904506,2.5574008385888463,0.17116535365276164,0.17517241379310344,7.8125e-06
34,2.0523226398366363,2.554532218801564,0.17357613328167376,0.13896551724137932,7.8125e-06
35,2.0545256837328125,2.5934435694793176,0.17430797709759352,0.13896551724137932,3.90625e-06
